#SampleID	Dataset	FullName	Location	Condition
RG_BOU_01	1	RG_BOU_01	Bourake	Porifera
RG_BOU_02	2	RG_BOU_02	Bourake	Porifera
RG_BOU_03	3	RG_BOU_03	Bourake	Porifera
SD_BOU_01	4	SD_BOU_01	Bourake	Sediment
SD_BOU_02	5	SD_BOU_02	Bourake	Sediment
SD_BOU_03	6	SD_BOU_03	Bourake	Sediment
RG_BDC_01	7	RG_BDC_01	Lemon bay	Porifera
RG_BDC_02	8	RG_BDC_02	Lemon bay	Porifera
RG_BDC_03	9	RG_BDC_03	Lemon bay	Porifera
SD_BDC_01	10	SD_BDC_01	Lemon bay	Sediment
SD_BDC_02	11	SD_BDC_02	Lemon bay	Sediment
SD_BDC_03	12	SD_BDC_03	Lemon bay	Sediment
SW_BDC_01	13	SW_BDC_01	Lemon bay	Seawater
SW_BDC_02	14	SW_BDC_02	Lemon bay	Seawater
SW_BDC_03	15	SW_BDC_03	Lemon bay	Seawater
RG_YAT_01	16	RG_YAT_01	Yate	Porifera
RG_YAT_02	17	RG_YAT_02	Yate	Porifera
RG_YAT_03	18	RG_YAT_03	Yate	Porifera
